index_1,index_2,index_3
1,2,4
1,2,7
1,2,16
1,3,5
1,3,9
1,3,18
1,6,7
1,6,8
1,6,25
1,15,17
1,15,18
1,15,24
2,1,3
2,1,6
2,7,6
2,7,10
2,7,26
2,16,19
2,16,27
3,1,15
3,5,4
3,9,8
3,9,13
3,18,15
3,18,21
3,18,31
4,2,7
4,2,16
4,5,14
4,5,23
4,11,10
4,11,14
4,11,49
4,20,23
4,20,49
5,3,9
5,3,18
5,4,11
5,4,20
5,14,11
5,14,50
5,23,20
5,23,21
5,23,50
6,1,15
6,7,10
6,8,9
6,8,12
6,25,24
6,25,30
6,25,33
7,2,16
7,6,8
7,6,25
7,10,11
7,10,42
7,26,42
8,6,25
8,9,13
8,9,35
8,12,10
8,12,13
8,12,46
8,34,35
8,34,46
9,3,18
9,8,12
9,8,34
9,13,12
9,13,14
9,13,47
9,35,31
9,35,34
9,35,47
10,7,26
10,11,14
10,12,13
10,42,26
10,42,37
10,42,41
11,4,20
11,10,12
11,10,42
11,14,13
11,14,50
11,49,20
11,49,41
11,49,50
12,8,34
12,10,42
12,13,14
12,13,47
12,46,34
12,46,37
12,46,47
13,9,35
13,12,46
13,47,35
13,47,45
13,47,46
14,5,23
14,11,49
14,13,47
14,50,23
14,50,45
14,50,49
15,17,16
15,18,21
15,24,25
15,24,29
15,24,32
16,17,22
16,17,28
16,19,20
16,19,22
16,19,43
16,27,26
16,27,28
16,27,43
17,15,18
17,15,24
17,16,19
17,16,27
17,22,19
17,22,21
17,22,44
17,28,27
17,28,44
18,15,24
18,21,22
18,21,23
18,21,48
18,31,35
18,31,48
19,16,27
19,20,23
19,22,21
19,22,44
19,43,27
19,43,41
19,43,44
20,19,22
20,23,21
20,23,50
20,49,41
20,49,50
21,18,31
21,23,50
21,48,31
21,48,38
21,48,45
22,17,28
22,19,43
22,21,23
22,21,48
22,44,28
22,44,38
22,44,43
23,20,49
23,21,48
23,50,45
23,50,49
24,25,30
24,25,33
24,29,28
24,29,30
24,29,39
24,32,31
24,32,33
24,32,39
25,24,29
25,24,32
25,30,26
25,30,29
25,30,40
25,33,32
25,33,34
25,33,40
26,27,28
26,30,29
26,42,37
26,42,41
27,26,30
27,26,42
27,28,29
27,28,44
27,43,44
28,27,43
28,29,30
28,44,38
28,44,43
29,24,32
29,28,44
29,30,40
29,39,32
29,39,38
29,39,40
30,25,33
30,29,39
30,40,33
30,40,37
30,40,39
31,32,33
31,35,34
31,48,38
31,48,45
32,31,35
32,31,48
32,33,34
32,33,40
32,39,38
32,39,40
33,32,39
33,34,35
33,40,37
33,40,39
34,33,40
34,35,47
34,46,37
34,46,47
35,34,46
35,47,45
35,47,46
36,37,40
36,37,42
36,37,46
36,38,39
36,38,44
36,38,48
36,41,42
36,41,43
36,41,49
36,45,47
36,45,48
36,45,50
37,36,41
37,42,41
38,36,45
38,39,40
38,44,43
38,48,45
39,38,44
39,38,48
40,37,46
41,43,44
41,49,50
42,37,46
42,41,49
43,41,49
44,38,48
47,45,50
48,45,50
