index_1,index_2,index_3,index_4
1,2,7,10
1,2,7,26
1,2,16,27
1,3,18,21
1,3,18,31
1,6,7,10
1,6,7,26
1,6,8,12
1,6,25,30
1,6,25,33
1,15,18,21
1,15,18,31
1,15,24,32
2,1,3,9
2,1,3,18
2,1,6,8
2,1,6,25
2,1,15,18
2,4,5,14
2,4,11,14
2,7,6,8
2,7,6,25
2,7,10,42
2,7,26,30
2,7,26,42
2,16,17,22
2,16,19,22
2,16,19,43
2,16,27,43
3,1,2,7
3,1,2,16
3,1,6,7
3,1,6,25
3,1,15,17
3,1,15,24
3,5,4,11
3,5,14,11
3,5,23,20
3,9,8,12
3,9,13,12
3,9,35,34
3,18,15,17
3,18,15,24
3,18,21,22
3,18,21,48
3,18,31,48
4,2,1,6
4,2,7,6
4,2,7,26
4,2,16,17
4,2,16,27
4,5,3,9
4,5,14,13
4,5,14,50
4,5,23,21
4,5,23,50
4,11,10,12
4,11,14,13
4,11,14,50
4,11,49,41
4,11,49,50
4,20,19,22
4,20,23,21
4,20,23,50
4,20,49,41
4,20,49,50
5,3,1,15
5,3,9,8
5,3,18,15
5,4,11,10
5,4,11,49
5,4,20,19
5,4,20,49
5,14,11,10
5,14,11,49
5,14,13,12
5,14,50,45
5,14,50,49
5,23,20,19
5,23,20,49
5,23,21,48
5,23,50,45
5,23,50,49
6,1,2,16
6,1,3,18
6,1,15,17
6,1,15,18
6,7,2,16
6,7,10,11
6,7,10,42
6,7,26,42
6,8,9,13
6,8,12,13
6,25,24,29
6,25,24,32
6,25,30,29
6,25,30,40
6,25,33,32
6,25,33,40
7,2,1,15
7,6,1,15
7,6,25,24
7,10,11,49
7,10,12,13
7,10,42,37
7,10,42,41
7,26,42,37
7,26,42,41
8,6,25,24
8,9,3,18
8,9,13,14
8,9,13,47
8,9,35,31
8,9,35,47
8,12,10,11
8,12,10,42
8,12,13,14
8,12,13,47
8,12,46,37
8,12,46,47
8,34,33,32
8,34,35,31
8,34,35,47
8,34,46,37
8,34,46,47
9,3,1,15
9,3,18,15
9,8,6,25
9,8,12,10
9,8,12,46
9,8,34,33
9,8,34,46
9,13,12,10
9,13,12,46
9,13,14,11
9,13,47,45
9,13,47,46
9,35,31,32
9,35,31,48
9,35,34,33
9,35,34,46
9,35,47,45
9,35,47,46
10,7,2,16
10,7,6,25
10,7,26,27
10,7,26,30
10,11,14,50
10,11,49,50
10,12,13,47
10,12,46,47
10,42,26,27
10,42,26,30
10,42,37,36
10,42,41,36
11,4,5,23
11,4,20,19
11,4,20,23
11,10,7,26
11,10,42,26
11,14,5,23
11,14,13,47
11,14,50,23
11,14,50,45
11,49,20,19
11,49,20,23
11,49,41,36
11,49,50,23
11,49,50,45
12,8,6,25
12,8,9,35
12,8,34,33
12,8,34,35
12,10,7,26
12,10,42,26
12,13,9,35
12,13,14,50
12,13,47,35
12,13,47,45
12,46,34,33
12,46,34,35
12,46,37,36
12,46,47,35
12,46,47,45
13,9,3,18
13,9,8,34
13,9,35,31
13,9,35,34
13,12,8,34
13,12,10,42
13,12,46,34
13,12,46,37
13,14,5,23
13,14,11,49
13,14,50,23
13,14,50,49
13,47,35,31
13,47,35,34
13,47,45,36
13,47,45,48
13,47,46,34
13,47,46,37
14,5,3,18
14,5,4,20
14,5,23,20
14,5,23,21
14,11,4,20
14,11,10,42
14,11,49,20
14,11,49,41
14,13,9,35
14,13,12,46
14,13,47,35
14,13,47,46
14,50,23,20
14,50,23,21
14,50,45,36
14,50,49,20
14,50,49,41
15,17,16,19
15,17,22,19
15,18,21,23
15,18,21,48
15,18,31,48
15,24,25,30
15,24,29,30
15,24,29,39
15,24,32,33
15,24,32,39
16,17,15,18
16,17,15,24
16,17,22,21
16,17,22,44
16,17,28,29
16,17,28,44
16,19,20,23
16,19,22,21
16,19,22,44
16,19,43,41
16,19,43,44
16,27,26,30
16,27,26,42
16,27,28,29
16,27,28,44
16,27,43,41
16,27,43,44
17,15,24,25
17,16,19,20
17,16,19,43
17,16,27,26
17,16,27,43
17,22,19,20
17,22,19,43
17,22,21,23
17,22,21,48
17,22,44,38
17,22,44,43
17,28,27,26
17,28,27,43
17,28,44,38
17,28,44,43
18,21,22,19
18,21,48,38
18,21,48,45
18,31,35,47
18,31,48,38
18,31,48,45
19,16,17,28
19,16,27,26
19,16,27,28
19,20,23,50
19,20,49,50
19,22,17,28
19,22,21,48
19,22,44,28
19,22,44,38
19,43,27,26
19,43,27,28
19,43,41,36
19,43,41,42
19,43,44,28
19,43,44,38
20,19,22,44
20,19,43,44
20,23,21,48
20,23,50,45
20,49,41,42
20,49,50,45
21,18,15,24
21,18,31,35
21,22,17,28
21,22,19,43
21,22,44,28
21,22,44,43
21,23,20,49
21,23,50,49
21,48,31,35
21,48,38,36
21,48,45,36
21,48,45,47
22,17,16,27
22,17,28,27
22,17,28,29
22,19,16,27
22,19,20,49
22,19,43,27
22,19,43,41
22,21,18,31
22,21,23,50
22,21,48,31
22,21,48,45
22,44,28,27
22,44,28,29
22,44,38,36
22,44,43,27
22,44,43,41
23,20,49,41
23,21,18,31
23,21,22,44
23,21,48,31
23,50,45,47
23,50,49,41
24,25,30,26
24,25,30,40
24,25,33,34
24,25,33,40
24,29,28,27
24,29,30,26
24,29,30,40
24,29,39,38
24,29,39,40
24,32,31,35
24,32,31,48
24,32,33,34
24,32,33,40
24,32,39,38
24,32,39,40
25,24,29,28
25,24,29,39
25,24,32,31
25,24,32,39
25,30,26,27
25,30,26,42
25,30,29,28
25,30,29,39
25,30,40,37
25,30,40,39
25,33,32,31
25,33,32,39
25,33,34,46
25,33,40,37
25,33,40,39
26,27,28,44
26,27,43,44
26,30,29,39
26,30,40,39
26,42,37,36
26,42,37,46
26,42,41,36
26,42,41,49
27,28,44,38
27,43,41,36
27,43,44,38
28,27,26,42
28,27,43,41
28,29,30,40
28,29,39,40
28,44,38,36
28,44,38,48
28,44,43,41
29,24,25,33
29,24,32,31
29,24,32,33
29,28,27,43
29,28,44,43
29,30,25,33
29,30,26,42
29,30,40,33
29,30,40,37
29,39,32,31
29,39,32,33
29,39,38,36
29,39,38,48
29,39,40,33
29,39,40,37
30,25,24,32
30,25,33,32
30,25,33,34
30,26,42,41
30,29,24,32
30,29,28,44
30,29,39,32
30,29,39,38
30,40,33,32
30,40,33,34
30,40,39,32
30,40,39,38
31,32,33,40
31,32,39,40
31,35,34,46
31,35,47,46
31,48,38,36
31,48,38,44
31,48,45,36
31,48,45,50
32,33,34,46
32,33,40,37
32,39,38,36
32,39,38,44
32,39,40,37
33,32,31,48
33,32,39,38
33,34,35,47
33,34,46,47
33,40,37,36
33,40,37,42
33,40,39,38
34,33,32,39
34,33,40,39
34,35,47,45
34,46,37,36
34,46,47,45
35,34,46,37
35,47,45,50
35,47,46,37
37,36,38,44
37,36,38,48
37,36,41,49
37,36,45,48
37,42,41,43
37,42,41,49
38,36,37,42
38,36,37,46
38,36,41,42
38,36,41,49
38,36,45,47
38,36,45,50
38,48,45,47
38,48,45,50
39,38,36,45
39,38,48,45
40,37,36,41
40,37,42,41
40,37,46,47
40,39,38,44
41,36,38,48
41,36,45,47
41,36,45,48
41,42,37,46
42,37,36,45
42,41,36,45
42,41,49,50
43,41,49,50
44,38,48,45
46,47,45,50
