index_1,index_2,index_3,index_4,index_5
1,2,7,10,42
1,2,7,26,42
1,2,16,19,43
1,2,16,27,43
1,3,18,21,48
1,3,18,31,48
1,6,7,10,42
1,6,7,26,42
1,6,25,30,40
1,6,25,33,40
1,15,18,21,48
1,15,18,31,48
2,1,3,9,13
2,1,3,18,21
2,1,6,8,34
2,1,15,18,21
2,1,15,24,29
2,1,15,24,32
2,4,5,14,13
2,4,5,14,50
2,4,5,23,21
2,4,5,23,50
2,4,11,14,13
2,4,11,14,50
2,4,11,49,41
2,4,11,49,50
2,4,20,23,21
2,4,20,23,50
2,4,20,49,41
2,4,20,49,50
2,7,6,8,34
2,7,10,12,13
2,7,10,42,41
2,7,26,30,29
2,7,26,42,41
2,16,17,22,21
2,16,17,22,44
2,16,17,28,29
2,16,17,28,44
2,16,19,22,21
2,16,19,22,44
2,16,19,43,41
2,16,19,43,44
2,16,27,28,29
2,16,27,28,44
2,16,27,43,41
2,16,27,43,44
3,1,2,7,10
3,1,2,7,26
3,1,2,16,19
3,1,6,7,10
3,1,6,7,26
3,1,6,25,30
3,1,6,25,33
3,1,15,17,28
3,1,15,24,29
3,5,4,11,10
3,5,4,11,49
3,5,4,20,19
3,5,4,20,49
3,5,14,11,10
3,5,14,11,49
3,5,14,50,45
3,5,14,50,49
3,5,23,20,19
3,5,23,20,49
3,5,23,50,45
3,5,23,50,49
3,9,8,12,10
3,9,8,12,46
3,9,8,34,33
3,9,8,34,46
3,9,13,12,10
3,9,13,12,46
3,9,13,47,45
3,9,13,47,46
3,9,35,34,33
3,9,35,34,46
3,9,35,47,45
3,9,35,47,46
3,18,15,17,28
3,18,15,24,29
3,18,21,22,19
3,18,21,48,38
3,18,21,48,45
3,18,31,32,33
3,18,31,48,38
3,18,31,48,45
4,2,1,6,25
4,2,7,6,25
4,2,7,26,30
4,5,3,9,8
4,5,14,50,45
4,5,23,21,48
4,5,23,50,45
4,11,10,12,8
4,11,14,50,45
4,11,49,41,36
4,11,49,50,45
4,20,19,22,44
4,20,19,43,44
4,20,23,21,48
4,20,23,50,45
4,20,49,41,36
4,20,49,50,45
5,3,1,6,25
5,3,1,15,17
5,3,18,15,17
5,4,2,7,26
5,4,2,16,17
5,4,11,10,42
5,4,11,49,41
5,4,20,19,43
5,4,20,49,41
5,14,11,10,42
5,14,11,49,41
5,14,13,12,46
5,14,13,47,46
5,14,50,49,41
5,23,20,19,43
5,23,20,49,41
5,23,21,22,17
5,23,21,48,38
5,23,50,49,41
6,1,2,4,20
6,1,3,5,14
6,1,3,18,31
6,1,15,17,28
6,1,15,18,31
6,7,2,4,20
6,7,10,11,14
6,7,10,11,49
6,7,10,42,37
6,7,26,27,28
6,7,26,42,37
6,7,26,42,41
6,8,9,13,14
6,8,9,13,47
6,8,9,35,31
6,8,9,35,47
6,8,12,13,14
6,8,12,13,47
6,8,12,46,37
6,8,12,46,47
6,8,34,35,31
6,8,34,35,47
6,8,34,46,37
6,8,34,46,47
6,25,24,29,28
6,25,24,29,39
6,25,24,32,31
6,25,24,32,39
6,25,30,29,28
6,25,30,29,39
6,25,30,40,37
6,25,30,40,39
6,25,33,32,31
6,25,33,32,39
6,25,33,40,37
6,25,33,40,39
7,2,1,3,18
7,2,1,15,18
7,2,16,17,22
7,2,16,19,22
7,6,1,3,18
7,6,1,15,18
7,6,25,24,32
7,6,25,33,32
7,10,11,14,50
7,10,11,49,50
7,10,12,13,47
7,10,12,46,47
7,10,42,37,36
7,10,42,41,36
7,26,27,28,44
7,26,27,43,44
7,26,30,29,39
7,26,30,40,39
7,26,42,37,36
7,26,42,41,36
8,6,1,2,16
8,6,7,2,16
8,9,13,14,50
8,9,13,47,45
8,9,35,31,48
8,9,35,47,45
8,12,13,14,50
8,12,13,47,45
8,12,46,37,36
8,12,46,47,45
8,34,33,32,39
8,34,33,40,39
8,34,35,31,48
8,34,35,47,45
8,34,46,37,36
8,34,46,47,45
9,3,1,2,16
9,3,1,15,17
9,3,1,15,24
9,3,18,15,17
9,3,18,15,24
9,8,6,25,24
9,8,12,10,42
9,8,12,46,37
9,8,34,46,37
9,13,12,10,42
9,13,12,46,37
9,13,14,11,49
9,13,14,50,49
9,13,47,45,36
9,13,47,46,37
9,35,31,32,24
9,35,31,32,39
9,35,34,33,40
9,35,34,46,37
9,35,47,45,36
9,35,47,46,37
10,7,2,1,15
10,7,6,1,15
10,7,6,25,24
10,11,4,5,23
10,11,4,20,23
10,11,14,5,23
10,11,14,50,23
10,11,14,50,45
10,11,49,20,19
10,11,49,20,23
10,11,49,50,23
10,11,49,50,45
10,12,8,9,35
10,12,8,34,35
10,12,13,9,35
10,12,13,47,35
10,12,13,47,45
10,12,46,34,33
10,12,46,34,35
10,12,46,47,35
10,12,46,47,45
10,42,37,36,38
10,42,37,36,45
10,42,37,40,33
10,42,37,40,39
10,42,41,36,38
10,42,41,36,45
10,42,41,43,19
10,42,41,43,44
11,4,2,1,15
11,4,2,16,27
11,4,5,3,18
11,4,5,23,21
11,4,20,19,22
11,4,20,23,21
11,10,7,26,27
11,10,42,26,27
11,14,5,3,18
11,14,5,23,21
11,14,13,9,35
11,14,13,47,35
11,14,50,23,21
11,14,50,45,48
11,49,20,19,22
11,49,20,23,21
11,49,41,36,38
11,49,41,43,27
11,49,50,23,21
11,49,50,45,48
12,8,6,25,30
12,8,9,35,31
12,8,34,33,32
12,8,34,35,31
12,10,7,26,30
12,10,42,26,30
12,13,9,35,31
12,13,14,5,23
12,13,14,50,23
12,13,47,35,31
12,13,47,45,48
12,46,34,33,32
12,46,34,35,31
12,46,37,40,30
12,46,47,35,31
12,46,47,45,48
13,9,3,1,15
13,9,3,18,15
13,9,3,18,21
13,9,8,34,33
13,9,35,34,33
13,12,8,34,33
13,12,46,34,33
13,14,5,4,20
13,14,5,23,20
13,14,5,23,21
13,14,11,4,20
13,14,11,49,20
13,14,11,49,41
13,14,50,23,20
13,14,50,23,21
13,14,50,49,20
13,14,50,49,41
13,47,35,31,32
13,47,35,34,33
13,47,45,48,21
13,47,46,34,33
14,5,3,1,15
14,5,3,18,15
14,5,3,18,31
14,5,4,20,19
14,5,23,20,19
14,5,23,21,22
14,11,4,20,19
14,11,10,42,37
14,11,49,20,19
14,13,9,8,34
14,13,9,35,31
14,13,9,35,34
14,13,12,8,34
14,13,12,46,34
14,13,12,46,37
14,13,47,35,31
14,13,47,35,34
14,13,47,46,34
14,13,47,46,37
14,50,23,20,19
14,50,23,21,22
14,50,45,36,37
14,50,45,48,31
14,50,49,20,19
15,1,2,7,26
15,1,6,7,26
15,1,6,8,34
15,17,16,19,43
15,17,16,27,26
15,17,16,27,43
15,17,22,19,20
15,17,22,19,43
15,17,22,44,38
15,17,22,44,43
15,17,28,27,26
15,17,28,27,43
15,17,28,44,38
15,17,28,44,43
15,18,21,23,20
15,18,21,48,38
15,18,31,35,34
15,18,31,48,38
15,18,31,48,45
15,24,25,30,26
15,24,25,30,40
15,24,25,33,34
15,24,25,33,40
15,24,29,30,26
15,24,29,30,40
15,24,29,39,38
15,24,29,39,40
15,24,32,33,34
15,24,32,33,40
15,24,32,39,38
15,24,32,39,40
16,2,1,6,25
16,2,7,6,25
16,17,15,24,25
16,17,22,21,48
16,17,22,44,38
16,17,28,29,39
16,17,28,44,38
16,19,20,23,50
16,19,20,49,50
16,19,22,21,48
16,19,22,44,38
16,19,43,41,36
16,19,43,44,38
16,27,26,30,25
16,27,28,29,39
16,27,28,44,38
16,27,43,41,36
16,27,43,44,38
17,15,24,25,33
17,15,24,32,33
17,16,19,20,49
17,16,19,43,41
17,16,27,26,42
17,16,27,43,41
17,22,19,20,49
17,22,19,43,41
17,22,21,23,50
17,22,44,43,41
17,28,27,26,42
17,28,27,43,41
17,28,29,30,40
17,28,29,39,40
17,28,44,43,41
18,15,24,25,30
18,15,24,29,30
18,21,22,19,43
18,21,22,44,43
18,21,23,20,49
18,21,23,50,49
18,21,48,38,36
18,21,48,45,36
18,31,35,34,46
18,31,35,47,46
18,31,48,38,36
18,31,48,45,36
19,16,17,15,24
19,16,17,28,29
19,16,27,26,30
19,16,27,28,29
19,20,23,50,45
19,20,49,50,45
19,22,17,15,24
19,22,17,28,29
19,22,21,18,31
19,22,21,48,31
19,22,21,48,45
19,22,44,28,29
19,22,44,38,39
19,43,27,26,30
19,43,27,28,29
19,43,41,36,37
19,43,41,36,45
19,43,41,42,37
19,43,44,28,29
19,43,44,38,39
20,19,16,17,28
20,19,16,27,28
20,19,22,17,28
20,19,22,44,28
20,19,43,27,26
20,19,43,27,28
20,19,43,44,28
20,19,43,44,38
20,23,21,48,38
20,23,50,45,47
20,49,41,36,37
20,49,41,42,26
20,49,41,42,37
20,49,50,45,47
21,18,15,24,25
21,18,15,24,29
21,22,17,16,27
21,22,17,28,27
21,22,17,28,29
21,22,19,16,27
21,22,19,43,27
21,22,19,43,41
21,22,44,28,27
21,22,44,28,29
21,22,44,43,27
21,22,44,43,41
21,23,20,49,41
21,23,50,49,41
21,48,38,36,41
21,48,38,39,29
21,48,45,36,41
21,48,45,47,46
22,17,15,24,32
22,17,16,27,26
22,17,28,27,26
22,19,16,27,26
22,19,43,27,26
22,19,43,41,42
22,21,18,31,32
22,21,48,31,32
