index_1,index_2,index_3,index_4,index_5,index_6
1,2,4,11,49,41
1,2,4,20,49,41
1,2,7,10,42,37
1,2,7,10,42,41
1,2,7,26,42,37
1,2,7,26,42,41
1,2,16,19,43,41
1,2,16,27,43,41
1,3,5,14,50,45
1,3,5,23,50,45
1,3,9,13,47,45
1,3,9,35,47,45
1,3,18,21,48,38
1,3,18,21,48,45
1,3,18,31,48,38
1,3,18,31,48,45
1,6,7,10,42,37
1,6,7,10,42,41
1,6,7,26,42,37
1,6,7,26,42,41
1,6,8,12,46,37
1,6,8,34,46,37
1,6,25,30,40,37
1,6,25,33,40,37
1,15,17,22,44,38
1,15,17,28,44,38
1,15,18,21,48,38
1,15,18,21,48,45
1,15,18,31,48,38
1,15,18,31,48,45
1,15,24,29,39,38
1,15,24,32,39,38
2,1,3,9,13,47
2,1,3,9,35,47
2,1,3,18,21,48
2,1,3,18,31,48
2,1,15,18,21,48
2,1,15,18,31,48
2,1,15,24,29,39
2,1,15,24,32,39
2,4,5,14,13,47
2,4,5,14,50,45
2,4,5,23,21,48
2,4,5,23,50,45
2,4,11,14,13,47
2,4,11,14,50,45
2,4,11,49,41,36
2,4,11,49,50,45
2,4,20,23,21,48
2,4,20,23,50,45
2,4,20,49,41,36
2,4,20,49,50,45
2,7,10,12,13,47
2,7,10,12,46,47
2,7,10,42,37,36
2,7,10,42,41,36
2,7,26,30,29,39
2,7,26,30,40,39
2,7,26,42,37,36
2,7,26,42,41,36
2,16,17,22,21,48
2,16,17,22,44,38
2,16,17,28,29,39
2,16,17,28,44,38
2,16,19,22,21,48
2,16,19,22,44,38
2,16,19,43,41,36
2,16,19,43,44,38
2,16,27,28,29,39
2,16,27,28,44,38
2,16,27,43,41,36
2,16,27,43,44,38
3,1,2,7,10,42
3,1,2,7,26,42
3,1,2,16,19,43
3,1,2,16,27,43
3,1,6,7,10,42
3,1,6,7,26,42
3,1,6,25,30,40
3,1,6,25,33,40
3,5,4,11,10,42
3,5,4,11,49,41
3,5,4,20,19,43
3,5,4,20,49,41
3,5,14,11,10,42
3,5,14,11,49,41
3,5,14,50,45,36
3,5,14,50,49,41
3,5,23,20,19,43
3,5,23,20,49,41
3,5,23,50,45,36
3,5,23,50,49,41
3,9,8,12,10,42
3,9,8,12,46,37
3,9,8,34,33,40
3,9,8,34,46,37
3,9,13,12,10,42
3,9,13,12,46,37
3,9,13,47,45,36
3,9,13,47,46,37
3,9,35,34,33,40
3,9,35,34,46,37
3,9,35,47,45,36
3,9,35,47,46,37
3,18,21,22,19,43
3,18,21,22,44,43
3,18,21,48,38,36
3,18,21,48,45,36
3,18,31,32,33,40
3,18,31,32,39,40
3,18,31,48,38,36
3,18,31,48,45,36
4,2,1,6,8,34
4,2,1,15,24,29
4,2,7,6,8,34
4,2,7,26,30,29
4,2,16,17,28,29
4,2,16,27,28,29
4,5,3,9,8,34
4,5,3,9,35,34
4,5,23,21,48,38
4,11,10,12,8,34
4,11,10,12,46,34
4,11,49,41,36,38
4,20,19,22,44,38
4,20,19,43,44,38
4,20,23,21,48,38
4,20,49,41,36,38
5,3,1,6,25,33
5,3,1,15,17,28
5,3,9,8,34,33
5,3,9,35,34,33
5,3,18,15,17,28
5,3,18,31,32,33
5,4,2,16,17,28
5,4,2,16,27,28
5,4,11,10,42,37
5,14,11,10,42,37
5,14,13,12,46,37
5,14,13,47,46,37
5,14,50,45,36,37
5,23,21,22,17,28
5,23,21,22,44,28
5,23,50,45,36,37
6,1,3,5,14,50
6,1,3,5,23,50
6,1,3,18,21,48
6,1,3,18,31,48
6,1,15,17,22,44
6,1,15,17,28,44
6,1,15,18,21,48
6,1,15,18,31,48
6,7,10,11,14,50
6,7,10,11,49,50
6,7,10,42,37,36
6,7,10,42,41,36
6,7,26,27,28,44
6,7,26,27,43,44
6,7,26,42,37,36
6,7,26,42,41,36
6,8,9,13,14,50
6,8,9,35,31,48
6,8,9,35,47,45
6,8,12,13,14,50
6,8,12,46,37,36
6,8,12,46,47,45
6,8,34,35,31,48
6,8,34,35,47,45
6,8,34,46,37,36
6,8,34,46,47,45
6,25,24,29,28,44
6,25,24,32,31,48
6,25,24,32,39,38
6,25,30,29,28,44
6,25,30,40,37,36
6,25,30,40,39,38
6,25,33,32,31,48
6,25,33,32,39,38
6,25,33,40,37,36
6,25,33,40,39,38
7,2,1,3,18,21
7,2,1,3,18,31
7,2,1,15,18,21
7,2,1,15,18,31
7,2,4,5,23,21
7,2,4,20,23,21
7,2,16,17,22,21
7,2,16,19,22,21
7,6,1,3,18,21
7,6,1,3,18,31
7,6,1,15,18,21
7,6,1,15,18,31
7,6,8,9,35,31
7,6,8,34,35,31
7,6,25,24,32,31
7,6,25,33,32,31
7,10,11,14,50,45
7,10,11,49,50,45
7,10,12,13,47,45
7,10,12,46,47,45
7,10,42,37,36,38
7,10,42,37,36,45
